customer_id,name,age,salary,join_date,department,performance_score,email,city,gender,is_active,invalid_email
1357,Customer_1357,27,29664.12,2022-06-14,HR,48.2,user1356@outlook.com,Houston,Male,FALSE,False
985,Customer_985,27,47373.17,,Marketing,48.2,user984@yahoo.com,Dallas,Female,FALSE,False
1828,Customer_860,62,63380.36,,Operations,48.2,user859@gmail.com,,Male,,False
1985,Customer_1985,,56746.57,,IT,48.2,user1984@company.com,New York,Male,TRUE,False
1294,Customer_1294,41,61654.21,2019-03-12,Finance,48.2,user1293@gmail.com,New York,Other,TRUE,False
1470,Customer_1470,54,58544.89,2022-02-24,Finance,48.2,user1469@outlook.com,San Antonio,Male,FALSE,False
1211,Customer_1211,31,61379.54,,Marketing,48.2,user1210@gmail.com,Los Angeles,Female,TRUE,False
368,Customer_368,65,90205.71,2021-06-18,IT,48.2,user367@company.com,San Diego,Male,TRUE,False
1704,,71,77165.23,,Marketing,48.2,user1703@gmail.com,Chicago,Other,TRUE,False
1384,Customer_1384,61,32664.99,2021-07-11,Sales,48.2,user1383@gmail.com,Houston,Other,TRUE,False
1788,Customer_1788,26,46429.39,2022-12-12,HR,48.2,user1787@outlook.com,San Antonio,Other,FALSE,False
252,Customer_252,26,59132.87,,Operations,48.2,user251@yahoo.com,,Other,FALSE,False
472,,41,91986.01,,IT,48.2,user471@outlook.com,San Diego,Female,FALSE,False
383,Customer_383,37,42660.68,2018-11-26,Sales,48.2,user382@outlook.com,Houston,Male,FALSE,False
354,Customer_354,47,22214.34,,Marketing,48.2,user353@gmail.com,San Jose,Other,FALSE,False
619,Customer_619,70,38895.56,2022-05-20,Finance,48.2,user618@yahoo.com,Los Angeles,Male,TRUE,False
1092,Customer_1092,44,36689.95,2022-01-02,HR,48.2,user1091@outlook.com,Houston,Male,FALSE,False
1403,CUSTOMER_1403,54,55904.83,,IT,48.2,user1402@gmail.com,New York,Male,FALSE,False
1138,Customer_1138,33,54439.65,2016-02-28,IT,48.2,user1137@gmail.com,Chicago,Other,FALSE,False
1602,Customer_1602,60,62606.22,2017-07-12,Sales,48.2,user1601@company.com,San Antonio,Female,TRUE,False
584,Customer_584,33,22572.32,,Operations,48.2,user583@yahoo.com,San Diego,Male,TRUE,False
926,Customer_926,66,62924.55,2021-03-30,Operations,48.2,user925@outlook.com,San Jose,Female,TRUE,False
865,CUSTOMER_66,31,42198.79,2015-06-14,IT,48.2,,San Diego,Other,FALSE,True
924,Customer_924,64,51067.39,2022-07-27,HR,48.2,user923@yahoo.com,,Male,FALSE,False
322,Customer_322,77,50099.44,2021-08-12,Sales,48.2,user321@outlook.com,Chicago,Male,TRUE,False
306,Customer_306,,47246.55,2022-09-24,IT,48.2,user305@outlook.com,Houston,Female,FALSE,False
